Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Burkina Faso,BFA,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,14,,,,,13,,,,,,,22,,24,22,28,,,,,,,35,,,,39,30,,36.96738052,34.49000168,,
Bangladesh,BGD,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,35,,,,,,,,,,47,,,,,,46.66360092,,,,59,58,61,61,65,73,73,74,75,75,76,,,
Bulgaria,BGR,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,,,,,,,,,,98,,,,,,,,,,98.41999817,,,
Bahrain,BHR,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,84,,,,,,,,,,87,,,,,,,,,,92.30000305,,,,,,,,,,,98,98,
"Bahamas, The",BHS,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,,,,,,,,,97,,,,,,,,,,,98.14203644,,97,,,,,,,,,98.30000305,,
Belarus,BLR,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,,,,,,,,,,100,,,,,,,,,,100,,,,,,,,,,100,,,,,
Belize,BLZ,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,80.90000153,,,,,,,,,,,,,,90.91603851,,,,,,,,,
Bermuda,BMU,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,63,,,,,,,,,,,,,,,,80,,,,,,,,,87,,,,,,91,91,91,,92,94,,,92,,,,,94,,,,
Brazil,BRA,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,75,,,,,,,,,,,,,,,,,,,,86,,,,89,,90,90,90,90,90,91,91,91,92,92,93,93,93,,,,94.69000244,,
Barbados,BRB,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,99,,,,,,,,,,99.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,BRN,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,78,,,,,,,,,,88,,,,,,,,,,93,,,,,,,,,,96,,,,,,,,,,97.58999634,,,
Bhutan,BTN,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,,,,,,,55,,,,,67,,,,,72.09999847,,
Botswana,BWA,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,,,,,,,,,,,,81,,,,,,,,,,86.82318115,,,,,,,,,,,
Central African Republic,CAF,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,34,,,,,,,,,,,,51,,,,,,,,,,36.75260925,,,,,,,,37,42.44279099,37.49000168,,,,
Canada,CAN,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Europe and the Baltics,CEB,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,97.97561646,97.99900055,98.03502655,98.06440735,98.0940094,98.12998199,98.21186066,98.27559662,98.34002686,98.400383,98.45832825,98.50900269,98.55934906,98.60749054,,,,,,,,,,,,,,,,,,99.29689789,99.31459808,99.3322525,99.3502121,99.37020874,99.41867828,99.43811798,99.45659637,99.47559357,99.48735046,,
Switzerland,CHE,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel Islands,CHI,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,91,,,,,,,,,,94,,,,,,,,,,96,,,,,,,,,97,,96,,97,,96,,,,,97.16000366,,
China,CHN,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,66,,,,,,,,78,,,,,,,,,,91,,,,,,,,,,95,,,,,,,,,,97,,,,
Cote d'Ivoire,CIV,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,,,,,36,,49,,,,,,,,,,,,40.98162842,,44,,50.03968048,,,90,,50.00064087,,,
Cameroon,CMR,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,68,,,,,,,71,,,71,,,,,,,,72.54712677,,78.23000336,,,,
"Congo, Dem. Rep.",COD,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,,,,,,61.20555115,,,,,75,,,,77,,73.55303192,,,,80.54000092,,
"Congo, Rep.",COG,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,76,,,,,,79.31117249,,,,,,,,,,80.61000061,,,
Colombia,COL,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,,,91,,,,,,,,93,93,92,93,93,93,93,94,,,94,94,95,,95,95,96,,,,
Comoros,COM,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,68,,,,,,,,,,,,49.19614029,,,,,,,,,,61.70999908,,
Cabo Verde,CPV,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,,,,,,,,,,76.11044312,,,,,,,,,,,,85,,,87,,,,,,,91,,
Costa Rica,CRI,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,93,,,,,,,,,,,,,,,,95,,,,,,,,,,,97,,,,,,,,,,98.04000092,,,
Caribbean small states,CSS,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.84288788,86.90670776,87.2071228,87.50739288,87.80066681,88.09118652,88.38037872,88.67469025,88.9420166,89.18743134,89.41989136,89.63707733,89.89797974,90.05967712,90.61286926,90.83847046,,,,,,,,,,,,,,,,
Cuba,CUB,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,98,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,100,,,,,,,97.65490723,,99.67311096,,,
Curacao,CUW,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,,,,,,,,,99,,,,,,,
Cyprus,CYP,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,,,,,,,,,97,,,,,,,,,,99,,,,,,,,,,99.36000061,,,
Czechia,CZE,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,DEU,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Djibouti,DJI,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,DMA,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,DNK,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,DOM,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,73,,,,,,,,,,,,,,,,,,,,,87,,,,,88,,,90,90,90,91,92,92,94,,,,,,95.5,,
Algeria,DZA,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,70,,,,73,,75,,,,,,,,,,81.40783691,,,,,,
East Asia & Pacific (excluding high income),EAP,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,63.69419861,63.85924911,65.05122375,66.40856934,67.61348724,68.75798798,69.81548309,70.8302536,71.91015625,72.93418121,73.8547287,75.09300995,79.31347656,79.99532318,80.62463379,81.20629883,81.76069641,82.26519012,82.84407806,83.42884827,83.94519806,89.52677155,89.90746307,90.20379639,90.57733154,90.91433716,91.25837708,91.60472107,91.91644287,92.23677063,92.58711243,93.78843689,94.08830261,94.3666687,94.54556274,94.23642731,94.46130371,94.56922913,94.99214172,95.19853973,95.40149689,95.59159088,95.63213348,96.04688263,96.2685318,96.40647125,96.54675293,96.67762756,
Early-demographic dividend,EAR,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,48.92340088,49.1531105,49.75986099,50.37519073,50.96231842,51.55112839,52.14300919,52.77219009,53.38526917,54.17990112,54.81098938,55.44097137,56.33779907,57.06465912,57.74956131,58.61248016,59.28057098,60.11782074,60.93613052,61.69287872,62.52106857,63.23437881,63.9301796,66.90170288,67.5488205,68.27494812,68.86483765,69.49545288,70.43015289,71.09046936,71.08133698,71.11062622,72.08509064,72.94660187,73.71276855,75.29827881,75.36026001,75.60447693,76.30715942,77.0951004,78.01100922,78.67870331,78.93888092,79.2979126,79.56617737,80.07386017,80.50227356,81.00576019,81.49595642,
East Asia & Pacific,EAS,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,65.69100189,65.87666321,66.96806335,68.20413971,69.30146027,70.34557343,71.31439972,72.24469757,73.23162842,74.16797638,75.00071716,76.17424774,79.9597702,80.5892334,81.17076111,81.71116638,82.22357178,82.68984222,83.24468994,83.8042984,84.29004669,89.27748871,89.64290619,89.96028137,90.32185364,90.63564301,90.98982239,91.36144257,91.6944809,92.02960968,92.37918854,93.51249695,93.81617737,94.08518219,94.20017242,93.86460114,94.09501648,94.20693207,94.71124268,94.92791748,95.13195801,95.32305145,95.36943054,95.80687714,96.02870178,96.16493225,96.30092621,96.43048859,
Europe & Central Asia (excluding high income),ECA,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.20307159,93.41841888,93.56755066,93.71807861,93.84960175,93.97428894,94.09631348,94.34555054,94.47283173,94.72511292,94.88533783,95.11637878,95.27252197,95.42579651,95.56822205,95.68714142,95.97032928,95.8777771,96.04781342,96.17410278,96.99658966,97.54811859,97.96994019,98.21566772,98.30252075,98.36765289,98.42497253,98.52690125,98.64160919,98.69303894,98.8225708,98.86509705,98.91927338,98.96550751,98.99172211,
Europe & Central Asia,ECS,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.93805695,96.06758118,96.22135162,96.34140015,96.48623657,96.592453,96.65251923,96.75279999,96.91116333,97.00517273,97.0912323,97.21016693,97.27015686,97.35178375,97.47324371,97.7307663,97.89465332,98.03515625,98.13265991,98.19622803,98.2387085,98.28185272,98.33891296,98.41797638,98.50179291,98.56401062,98.60382843,98.64627838,98.66442108,98.68871307,
Ecuador,ECU,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,84,,,,,,,,88,,,,,,,,,,,91,,,,,,92,92,92,92,92,92,93,94,94,94,93,,,94,94,94,,
"Egypt, Arab Rep.",EGY,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,38,,,,,,,,,,44,,,,,,,,,,56,,,,,,,,,67,66,,,,72,,74,72,,,,71,,,,,74.5,,
Euro area,EMU,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,ERI,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,,,,,,65,,,,,,,,,,76.57051849,,,,,,
Spain,ESP,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,93,,,,,,,,,,96,,,,,,,,,,,,,97,98,98,98,98,98,98,98,98,98,98,98,98,,98,,99,,,,
Estonia,EST,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,100,,,,,,,,,,,100,,,,,,,,,,99.87000275,,,
Ethiopia,ETH,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,35.90000153,29.8203392,,39,,,,,,,,,47.49158859,51.7711792,,,,,,,
European Union,EUU,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fragile and conflict affected situations,FCS,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,57.98574066,58.51163864,59.03063965,59.41387939,59.93164063,60.21982956,60.45029831,60.69029999,61.27685928,61.74974823,62.1029892,62.66149902,63.27534866,63.71392059,61.94591904,62.45233917,62.93515015,63.13985062,63.7163887,63.93849182,62.7258606,62.38544846,62.80833054,61.96448898,62.26791,62.27994919,62.55318069,63.12306976,63.56327057,63.96762085,64.450737,65.08634949,65.08425903,65.74742126,65.66819763,65.78574371,65.91319275,65.85257721,
Finland,FIN,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,FJI,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,FRA,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faroe Islands,FRO,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",FSM,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,GAB,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,,,,,,,,,,,,,,,,,,,82.28379822,,,,,,,,,88.8583374,85.69000244,,
United Kingdom,GBR,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,GEO,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,100,,,99,99.65366364,,,,100,,
Ghana,GHA,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,,,,,,,,,,71,,,,,,,64.49239349,,,80.37999725,,,,
Gibraltar,GIB,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,GIN,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,30,,,,,,,25,,,,32,,,,40,,,45.33000183,,,
"Gambia, The",GMB,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,,,,,,,,,,,,,41.95005035,,51,,,53.16019821,,,51.63740158,58.66999817,,
Guinea-Bissau,GNB,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,41,,,,,,,,,,,,,,45.5811615,,,,,54.8823204,,,53.90000153,,
Equatorial Guinea,GNQ,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,,,,,,,,,,94.3705368,,,,,,,,,,,,,,
Greece,GRC,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,91,,,,,,,,,,93,,,,,,,,,,96,,,,,,,,94,,,,,,,,,,,,,,,
Grenada,GRD,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,98,,,,,,,,,,98.40000153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenland,GRL,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,GTM,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,,,,,,,,69,,,,,,,,,,78,77,81,80.19509125,,,81,,,,83.03117371,,
Guam,GUM,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,96,,,,,,,,,,99,,,,,,,,,,99.55999756,,,,,,,,,,,,,,,,,,,,,,,,
