Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Guyana,GUY,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.99401093,,,,,85.63973236,,,,,,85.63835144,,90.02999878,,
High income,HIC,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hong Kong SAR, China",HKG,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,HND,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,84,,,85,85,85,85,87,88,89,,87,89,,,,,
Heavily indebted poor countries (HIPC),HPC,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,43.52944183,44.14123154,44.56438065,45.13058853,45.67462921,46.07191086,46.3716011,46.73825836,47.16862106,47.3592186,47.86417007,48.61346054,49.11637878,49.93965149,50.94258118,51.76231003,52.5177002,53.03770828,53.58852005,53.8459816,52.23458862,53.64733124,53.96998978,54.19968033,55.22880173,57.16463089,58.53034973,59.53842926,60.29661942,60.87498856,61.49433899,62.60771179,64.16165924,64.35105896,64.61183167,65.09500885,65.55213928,65.92082977,
Croatia,HRV,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,,,,,,,,,,98,,,,,,,,,,,,,,,,,,,,99.44999695,,,
Haiti,HTI,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,59,,,48.68502045,,,,,,,,,,61.69134903,68.00985718,,,,,,,
Hungary,HUN,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,99,,,,,,,,,,99.09999847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.09999847,,,
IBRD only,IBD,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,61.72045898,61.90056992,62.2448616,63.09395981,63.99940872,64.83812714,65.65335083,66.43994141,67.1964798,68.0822525,68.86392212,69.59496307,70.4718399,72.76798248,73.40574646,74.09323883,74.61988068,75.15083313,75.64013672,76.13955688,76.67047882,77.17352295,80.08342743,81.67337799,82.04602051,82.4675827,82.84921265,83.25000763,83.82926941,84.22633362,84.24723816,84.53527832,85.41902924,85.8871994,86.1740036,86.76625061,87.08046722,87.43739319,87.6772995,88.06704712,88.33882141,88.51596069,88.68708038,88.90817261,88.94484711,89.24588776,89.47541046,89.79763794,90.09896851,
IDA & IBRD total,IBT,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,58.61616898,58.77901077,59.10681152,59.8553009,60.65282822,61.39295959,62.11486053,62.81790924,63.49792862,64.29412842,65.00541687,65.67169952,66.48976898,68.53456116,69.15585327,69.82624054,70.32913971,70.88929749,71.4197464,71.92668152,72.44776917,72.94389343,75.43608856,76.93625641,77.35363007,77.5923233,77.99107361,78.41320038,78.99893951,79.40499115,79.41223907,79.37136078,80.07466125,80.51754761,80.7899704,81.57679749,81.81272125,82.0486908,82.42360687,82.847229,83.31432343,83.70352936,83.9151535,84.23887634,84.3611908,84.59989929,84.82348633,85.10057831,85.35204315,
IDA total,IDA,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,44.74959183,45.02069092,45.32012177,45.63053894,45.99398041,46.36528015,46.71875,47.25265121,48.08322906,48.62488937,49.21269989,49.71640015,50.57445908,51.47507858,52.22705078,52.89533997,53.54806137,54.30012131,55.55945969,56.3888092,56.0110817,56.71977997,57.43262863,58.22697067,58.85507965,58.98418045,57.74592972,57.93970871,58.52658081,58.97623825,60.80833054,60.99414063,61.03001022,62.15908813,62.91770172,64.3584671,65.75422668,66.36461639,67.31408691,68.00256348,68.28266907,68.75950623,69.15470123,69.51500702,
IDA blend,IDB,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,46.71942902,47.03422165,47.36125183,47.67736816,47.98693848,48.29785156,48.61975098,49.27560043,49.94118118,50.48210907,51.17140961,51.85963821,53.6689682,55.58475113,56.35834885,57.15684128,58.02085876,58.86204147,59.66479111,60.50194168,57.6583519,58.40943909,59.1355896,60.30315018,61.01641846,60.50519943,61.20518875,59.68865967,60.66439056,61.60240173,62.08919907,62.19781876,63.44921875,63.33293915,64.21697235,64.95767212,65.67326355,65.8370285,66.25102234,66.37684631,66.77944183,67.16327667,67.52667236,67.8960495,
Indonesia,IDN,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,67,,,,,,,,,,82,,,,,,,,,,,,,,90,,92,,92,93,,93,,,95,95,95,,96,,96,,,,
IDA only,IDX,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,44.03710175,44.32305145,44.63068008,45.02043152,45.42123032,45.79013062,46.26445007,47.17562866,47.71765137,48.25587845,48.66450119,49.05147934,49.46712875,50.20755005,50.81401062,51.35652161,52.05524826,53.5309906,54.3507309,55.19245148,55.87366867,56.57666016,57.18611145,57.77180862,58.22148132,56.01248169,57.06330872,57.45429993,57.65644836,60.16366959,60.38803864,59.81361008,61.57019043,62.26710129,64.05935669,65.79447174,66.62503052,67.83686829,68.79856873,69.01576233,69.53566742,69.94486237,70.30046082,
Isle of Man,IMN,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,IND,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,41,,,,,,,,,,48,,,,,,,,,,61,,,,,63,,,,,69,,,,,,,,,,,76,77,
Not classified,INX,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,IRL,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Iran, Islamic Rep.",IRN,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,37,,,,,,,,,,52,,,,,66,,,,,73,,,,,,77,,,82,82,,83,,,,84,85,85,,86,,,,,,88.95999908,,
Iraq,IRQ,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,,,,,,,,,,,,77,,82,,83,86,,,,,,,
Iceland,ISL,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,ISR,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,ITA,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,96,,,,,,,,,,,,,,,,,,,,98,,,,,,,,,,99,,,,,,,,99,,,,,
Jamaica,JAM,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,JOR,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,67,,,,,,,,,,,,,,,,,,,,,,,,90,,91,,92,,,93,96,98,,,,,,95.43144989,,,,,95,
Japan,JPN,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kazakhstan,KAZ,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,,,,,,,,,,100,,,,,,,,,,100,99.78163147,,,,,,,,,,99.80000305,,,,
Kenya,KEN,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,,,,,,,72.1570282,,,,,,,78.73303986,,,,,,,,82.87999725,,
Kyrgyz Republic,KGZ,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,,,,,,,,,99,,,,,,,,,,99.59999847,,,,,
Cambodia,KHM,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,,,,,,74,,,,77,76,,,,,78,81,,,,,,71.92725372,83.77999878,,
Kiribati,KIR,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.95970917,,,,,,
St. Kitts and Nevis,KNA,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, Rep.",KOR,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,,,,,,,,,,98.80000305,,,,,,
Kuwait,KWT,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,60,,,,,68,,,,,74,,,,,,,,,,78,,,,,,,,,,93,93,94,94,,94,,96,96,,96,,96,96,,96,,,,
Latin America & Caribbean (excluding high income),LAC,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,77.7884903,77.80844879,78.19017792,78.60355377,79.04564667,79.44309235,79.79727173,80.20082092,80.59703827,80.98570251,81.36363983,81.73171997,82.09082031,82.40022278,82.84262848,83.27294922,83.6031723,84.25060272,84.89894867,85.53677368,86.16233063,86.78251648,87.17935181,87.45189667,87.80680847,88.15046692,88.46697235,88.62754059,88.90917206,89.62796783,89.91853333,89.8635788,90.01100159,90.85434723,91.17228699,91.3669281,91.31896973,92.1481781,92.47815704,92.47155762,92.94561768,93.08236694,93.53968811,93.58692932,93.78939819,93.97664642,94.03729248,94.23220062,94.39636993,94.54627228,
Lao PDR,LAO,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,70,69,,,,73,,,,,,58.28794098,,,,85,,,,,,,87.51999664,,
Lebanon,LBN,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,91,,,,,,,,,93,,,,,,
Liberia,LBR,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,42.94107819,,,,,,,,,,48.30136108,,,,,,,
Libya,LBY,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,76.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Lucia,LCA,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,LCN,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,78.71794891,78.73742676,79.08670044,79.48947906,79.92698669,80.32272339,80.67739105,81.07405853,81.46111298,81.84255981,82.21321106,82.57383728,82.92527008,83.21761322,83.70771027,84.14949799,84.46787262,85.06639099,85.6655426,86.25491333,86.83325958,87.40621948,87.7791214,88.04445648,88.39903259,88.71655273,89.0166626,89.17575073,89.44306183,90.09590149,90.37226868,90.33940887,90.54231262,91.39063263,91.68933868,91.8646698,91.78517151,92.49057007,92.79947662,92.78405762,93.28205109,93.42685699,93.86831665,93.89946747,94.08590698,94.25566864,94.31330872,94.49382019,94.64691925,94.79000854,
Least developed countries: UN classification,LDC,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,40.70085144,40.98870087,41.29700851,41.68323898,42.07923126,42.43841934,42.91675949,43.8821907,44.41593933,44.96332932,45.3817215,45.76271057,46.20132065,47.00368881,47.86016083,48.40901184,49.13523102,50.75037003,51.62556839,52.22270966,52.94176865,53.686409,54.33137894,54.9566803,55.41690826,52.90525055,53.8373909,54.1764183,54.76594925,57.37931061,57.61626816,56.97109985,58.9826889,59.80447006,61.77787018,63.6640892,64.59895325,64.93852997,65.98403931,66.22281647,66.8311615,67.31300354,67.71456909,
Low income,LIC,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.47354126,46.89374924,47.39165115,47.68230057,47.82184982,48.03084946,48.31108856,48.67599869,49.0426712,49.7333107,50.43019104,50.97880936,51.39865875,52.0471611,52.71640015,53.11349106,53.58198166,53.99721146,52.17990112,53.41815948,54.31401062,54.82347107,55.31972885,57.35871887,57.80881119,58.65501022,59.0708313,59.74245834,60.42670059,61.48361969,61.45404053,61.52846909,61.69004059,62.18141174,62.63246155,63.03852844,
Liechtenstein,LIE,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sri Lanka,LKA,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,87,,,,,,,,,,,,,,,,,,,,91,,,,,91,,91,,91,,,,,,92,92,92,92,92,92,92,,
Lower middle income,LMC,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,44.26187897,44.36312866,44.89862061,45.4513588,46.00061035,46.53305817,47.06518936,47.63434982,48.12107086,48.72106934,49.32204819,49.83683014,50.71524048,51.40591812,52.10359955,52.80690002,53.51564026,54.40485001,55.26998138,56.08274078,56.85776138,57.6343689,58.41292953,61.84885025,62.59148026,62.80231094,63.52991867,64.24832916,65.29472351,65.99687195,65.78601837,65.76851654,66.29193878,66.94371796,67.63523865,69.5083313,69.80986023,70.25576019,71.1595993,71.89687347,72.98467255,73.73400116,74.26711273,75.07314301,75.24550629,75.88030243,76.48822784,77.0826416,77.63182068,
Low & middle income,LMY,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,57.99011993,58.15483093,58.48511124,59.24325943,60.05157089,60.80168915,61.53340149,62.24663925,62.93627167,63.7444191,64.46614075,65.14209747,65.97441101,68.04714966,68.67327118,69.35292053,69.86843109,70.44154358,70.98404694,71.50187683,72.03411102,72.54129028,75.08006287,76.60636139,77.03614807,77.2782135,77.68572235,78.11972809,78.71820068,79.13273621,79.14187622,79.09600067,79.80426788,80.25643921,80.53156281,81.33833313,81.58473206,81.82585144,82.20989227,82.63465118,83.10839081,83.50254059,83.72104645,84.05187225,84.17989349,84.42474365,84.65364075,84.93734741,85.17915344,
Lesotho,LSO,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,,,,,,,,,75.80020142,,,,,76.6352005,,,,86.24086761,,,,82.01000214,,
Late-demographic dividend,LTE,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,69.04380798,69.14653015,70.13127136,71.24758911,72.23538208,73.17809296,74.05497742,74.88610077,75.77620697,76.63208771,77.40110779,78.17563629,81.74246979,82.31551361,82.83892822,83.35498047,83.83611298,84.29380798,84.74086761,85.19458771,85.62606812,90.4157486,90.76043701,91.04369354,91.30876923,91.61357117,91.90081024,92.27398682,92.53385162,92.80371857,93.08113861,94.07135773,94.28473663,94.5491333,94.68138123,95.0619812,95.25161743,95.32853699,95.49865723,95.65283203,95.87418365,96.0356369,96.18080902,96.30956268,96.43795013,96.56439972,96.6875,96.80445862,
Lithuania,LTU,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,,,,,,,,,,,,100,,,,,,,,,,100,,,,,,,,,,99.83000183,,,
Luxembourg,LUX,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,LVA,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,,,,,,,,,,100,,,,,,,,,,,100,,,,,,,,,,99.88999939,,,
"Macao SAR, China",MAC,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,91,,,,,93,,,,,96,,,,,97,,,,,97.11000061,,,
St. Martin (French part),MAF,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,MAR,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,42,,,,,,,,,,52,,,,55,56,,67,69,,76,,,,,,,,77.34999847,,
Monaco,MCO,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,MDA,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,,,,,,,,,,,97,,,,,,,,,,,,,,99,,,,,,,99.59999847,,,
Madagascar,MDG,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,,,,,59,,,,64.48091125,,,72,,,,,,77,,,74.68614197,77.48000336,,
Maldives,MDV,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,82,,,,,,,,92,,,,,96,,,,,96,,,,,96,,,,,,98,,,,,,,,99,,98,94.50550842,,98.21186066,,97.86000061,,,
Middle East & North Africa,MEA,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,43.99972153,44.49103165,44.99967957,45.55852127,46.21683884,46.89799118,47.65433884,48.4163208,49.33712006,50.03417969,50.99546051,51.9450798,52.8956604,53.8265419,54.84006882,55.84550858,58.23571014,59.42650986,60.52204895,61.38713837,62.34870911,63.82514191,64.9606781,66.06362152,67.26732635,68.36743927,69.40158844,70.5324173,71.56455994,74.12705994,74.96322632,75.5710907,74.59211731,75.36997986,77.08521271,76.0182724,76.60938263,77.32386017,77.9977417,78.60816956,78.98551178,79.63973999,78.47634888,78.92874146,79.2567215,79.55386353,79.89576721,80.30119324,80.61109924,80.94914246,
Mexico,MEX,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,83,,,,,,,,,,88,,,,,,,,,,91,,90,,91,92,92,93,93,93,93,94,94,94,95,94,95,95,95,,95,,,,
Marshall Islands,MHL,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,,,,,,,,,,,,,
Middle income,MIC,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,58.92092896,59.08536148,59.42155838,60.21147156,61.05474091,61.83565903,62.59563065,63.3356781,64.04879761,64.88832855,65.63500214,66.33724976,67.19151306,69.37020874,70.00895691,70.69976044,71.22914886,71.83592224,72.41555786,72.96025085,73.51708221,74.04509735,76.71141815,78.29853821,78.7332077,78.97722626,79.38092041,79.81482697,80.44843292,80.87950897,80.87993622,80.98056793,81.68251801,82.13009644,82.41629028,83.27523804,83.41603088,83.67212677,84.04508972,84.49078369,84.97399139,85.37055206,85.5535965,85.94582367,86.1155777,86.40705109,86.65189362,86.95844269,87.22839355,
North Macedonia,MKD,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,,,,,,,,96,,,,,,,,,,97.59999847,,,,,,,,,,,,
Mali,MLI,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,19,,,,,24,,,26,,,,31,31,,,,33,,,35,,31,,,,
Malta,MLT,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,87,,,,,,,,,,88,,,,,,,,,,92,,,,,,93,,,,,,,,,,94.94000244,,,
Myanmar,MMR,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,79,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,75.55120087,,,89,,,,,
Middle East & North Africa (excluding high income),MNA,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,39.62331009,40.10052872,40.58827972,41.12541962,41.68489075,42.28366852,42.99940109,43.72542953,44.55873871,45.40118027,46.32601166,47.09122849,48.12968063,49.18339157,50.23834991,51.26988983,52.2937088,53.31335831,55.90718842,57.24118042,58.35110092,59.20285034,60.14149857,61.67876816,62.84115982,63.96881104,65.14228821,66.26416779,67.30856323,68.49597931,69.51495361,72.4437027,73.31783295,73.94255829,72.68019867,73.38842773,75.16887665,73.71089172,74.23410034,74.53671265,75.32568359,76.03752136,76.32826233,76.94367981,75.46948242,75.92513275,76.31310272,76.7212677,77.06096649,77.46595001,77.89485931,78.25939178,
Montenegro,MNE,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,93,,,,,,,,,,,,98,,,,,,,,98,,,,,,,98.53440094,,,98.98000336,,,
Mongolia,MNG,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,,,,,,,,,,98,,,,,,,,96.89634705,,99,,,,
Northern Mariana Islands,MNP,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mozambique,MOZ,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,39,,,,,,48,,,,,,51,,,,,,56,,61,,,60,,,,
Mauritania,MRT,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,,,,,,,45.50378036,,,,,,62,,65.1120224,,,,,59.52965927,66.95999908,,,
Mauritius,MUS,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,84,,,,,,,,,,,89,92,91,92,93,93,,,,,92.15000153,,,
Malawi,MWI,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,,,,,,,,,64,,,,,,,,,,,,61.30971909,,,,65.14537048,62.14353943,,,,,70.15226746,,68.08000183,,
Malaysia,MYS,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,,83,,,,,,,,,,,,,,,,,,,93,,,,,,95,95,95,95,,,96,,
North America,NAC,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.61991882,98.63156128,98.64237213,98.6569519,98.66642761,98.68657684,,,,,,,,,98.753479,98.75978851,98.76516724,98.77028656,98.77716827,98.77941132,,
Namibia,NAM,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,,,,,,,,,,85,,,,,,76.48658752,,,,88,,,,,,,,,,92.25,,,
New Caledonia,NCL,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,91,,,,,,,,,,,,,93,,,,,,,96,,,,,,,,,,97.30000305,,,,,,,,,,,,,,,,,,
Niger,NER,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,29,,,,,,,31,,,,,,,,,,38.09999847,,
Nigeria,NGA,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,,,,,,,,,,,,55,,,70,,51.07765961,,,,,,,,58.22134018,,62.01601028,,,63.15554047,,,
Nicaragua,NIC,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,,,,78,,,,,,,,,,82.61454773,,,,,,,,,
